dataset,dup_sym_ts,dup_ts,exchange,future_ts,grid_off_5m_1m,has_real_oi,instrument_type,intrasession_gaps,null_oi,null_volume,ohlc_bad,rows_loaded,rows_raw,status,symbol,tf,ts_max,ts_min,weekend_rows
debashis74017/nifty-50-minute-data,0,0,NSE,0,0,False,INDEX,7,209888,209888,0,209888,209888,OK,NIFTY,5m,2026-05-18T12:05:00+00:00,2015-01-09T03:45:00+00:00,463
debashis74017/nifty-50-minute-data,0,0,NSE,0,10693,False,INDEX,7129,1048738,1048738,0,1048738,1048738,OK,NIFTY,1m,2026-05-15T07:50:00+00:00,2015-01-09T03:45:00+00:00,2311
debashis74017/nifty-50-minute-data,0,0,NSE,0,0,False,INDEX,8,209879,209879,0,209879,209879,OK,BANKNIFTY,5m,2026-05-18T12:05:00+00:00,2015-01-09T03:45:00+00:00,463
mavrick136/10-years-of-nifty-50-1-minute-data-20152025,0,0,NSE,0,0,False,INDEX,0,1077240,1077240,0,1077240,1077240,OK,NIFTY,1m,2025-12-24T10:00:00+00:00,2015-01-01T03:45:00+00:00,0
nishanthsalian/indian-stock-index-1minute-data-2008-2020,7125,0,NSE,0,0,False,INDEX,2078,1171766,1171766,0,1171766,1178891,DUP_WARN,NIFTY,1m,2020-11-27T10:02:00+00:00,2008-01-01T04:25:00+00:00,1590
sandeepkapri/banknifty-data-upto-2024,0,0,NSE,0,0,False,INDEX,8,171019,171019,0,171019,171019,OK,BANKNIFTY,5m,2024-04-09T07:05:00+00:00,2015-01-09T03:45:00+00:00,294
sandeepkapri/banknifty-data-upto-2024,3690,0,NSE,0,10695,False,INDEX,7134,1042909,1042909,0,1042909,1046599,DUP_WARN,BANKNIFTY,1m,2026-04-22T09:59:00+00:00,2015-01-09T03:45:00+00:00,2325
rbtj1729/nifty-futures-data-jan-2021-march-2026,2629,0,NSE,0,,True,FUTURE,,11,11,0,1299,3928,DUP_WARN,NIFTY,1d,2026-03-30T00:00:00+05:30,2021-01-01T00:00:00+05:30,6
naveennas/metals-price-historical-data-mcx-data-7-metals,0,0,MCX,0,,False,INDEX,,2760,22,2,2760,2760,OK,GOLD,1d,2024-08-30T00:00:00+05:30,2014-01-01T00:00:00+05:30,24
naveennas/metals-price-historical-data-mcx-data-7-metals,0,0,MCX,0,,False,INDEX,,2759,18,2,2759,2759,OK,SILVER,1d,2024-08-30T00:00:00+05:30,2014-01-01T00:00:00+05:30,23
prathamsatani/s-and-p-bse-sensex-01-apr-23-to-15-dec-23,0,0,BSE,0,,False,INDEX,,672,672,0,672,672,OK,SENSEX,1d,2023-12-15T00:00:00+05:30,2021-04-01T00:00:00+05:30,1
