session,regime,variant,pattern,candle_ts,side,entry,stop_loss,target,risk_points,bar_vol,d_oi,result,points
2026-09-01,TREND_DOWN,spike,spike,2026-09-01T08:20:00Z,BUY,24147.3,24103.1,24279.9,44.2,3616.0,,PENDING,0.0
2026-09-01,TREND_DOWN,spike,spike,2026-09-01T08:20:00Z,SELL,24103.1,24147.3,23970.5,44.2,3616.0,,TRIGGERED,0.0
2026-09-01,TREND_DOWN,hammer,hammer,2026-09-01T08:10:00Z,BUY,24162.0,24142.0,24222.0,20.0,2219.0,,PENDING,0.0
2026-09-01,TREND_DOWN,hammer,hammer,2026-09-01T09:50:00Z,SELL,24077.3,24097.6,24016.4,20.3,1412.0,,PENDING,0.0
2026-09-01,TREND_DOWN,spike+vol_expansion,spike+vol_expansion,2026-09-01T08:20:00Z,BUY,24147.3,24103.1,24279.9,44.2,3616.0,,PENDING,0.0
2026-09-01,TREND_DOWN,spike+vol_expansion,spike+vol_expansion,2026-09-01T08:20:00Z,SELL,24103.1,24147.3,23970.5,44.2,3616.0,,TRIGGERED,0.0
2026-09-02,CHOP,spike,spike,2026-09-02T03:45:00Z,BUY,24000.0,23952.4,24142.8,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike,spike,2026-09-02T03:45:00Z,SELL,23952.4,24000.0,23809.6,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike,spike,2026-09-02T03:50:00Z,BUY,23980.0,23940.0,24100.0,40.0,2379.0,51090.0,TRIGGERED,0.0
2026-09-02,CHOP,spike,spike,2026-09-02T03:50:00Z,SELL,23940.0,23980.0,23820.0,40.0,2379.0,51090.0,PENDING,0.0
2026-09-02,CHOP,spike,spike,2026-09-02T03:55:00Z,BUY,23981.2,23951.5,24070.3,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike,spike,2026-09-02T03:55:00Z,SELL,23951.5,23981.2,23862.4,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike,spike,2026-09-02T04:00:00Z,BUY,23979.8,23958.7,24043.1,21.1,3585.0,111020.0,STOP_HIT,-21.1
2026-09-02,CHOP,spike,spike,2026-09-02T04:00:00Z,SELL,23958.7,23979.8,23895.4,21.1,3585.0,111020.0,STOP_HIT,-21.1
2026-09-02,CHOP,spike,spike,2026-09-02T04:40:00Z,BUY,23989.8,23970.0,24049.2,19.8,1527.0,60775.0,STOP_HIT,-19.8
2026-09-02,CHOP,spike,spike,2026-09-02T04:40:00Z,SELL,23970.0,23989.8,23910.6,19.8,1527.0,60775.0,STOP_HIT,-19.8
2026-09-02,CHOP,spike,spike,2026-09-02T04:50:00Z,BUY,24018.0,23982.1,24125.7,35.9,1509.0,4550.0,STOP_HIT,-35.9
2026-09-02,CHOP,spike,spike,2026-09-02T04:50:00Z,SELL,23982.1,24018.0,23874.4,35.9,1509.0,4550.0,STOP_HIT,-35.9
2026-09-02,CHOP,spike,spike,2026-09-02T06:40:00Z,BUY,23983.9,23948.9,24088.9,35.0,2495.0,129675.0,TRIGGERED,0.0
2026-09-02,CHOP,spike,spike,2026-09-02T06:40:00Z,SELL,23948.9,23983.9,23843.9,35.0,2495.0,129675.0,PENDING,0.0
2026-09-02,CHOP,spike,spike,2026-09-02T07:45:00Z,BUY,24021.0,24008.0,24060.0,13.0,2321.0,122135.0,STOP_HIT,-13.0
2026-09-02,CHOP,spike,spike,2026-09-02T07:45:00Z,SELL,24008.0,24021.0,23969.0,13.0,2321.0,122135.0,STOP_HIT,-13.0
2026-09-02,CHOP,sideways_spike,sideways_spike,2026-09-02T07:45:00Z,BUY,24021.0,24008.0,24060.0,13.0,2321.0,122135.0,STOP_HIT,-13.0
2026-09-02,CHOP,sideways_spike,sideways_spike,2026-09-02T07:45:00Z,SELL,24008.0,24021.0,23969.0,13.0,2321.0,122135.0,STOP_HIT,-13.0
2026-09-02,CHOP,hammer,hammer,2026-09-02T04:20:00Z,SELL,23959.0,23981.0,23893.0,22.0,895.0,25350.0,STOP_HIT,-22.0
2026-09-02,CHOP,hammer,hammer,2026-09-02T04:55:00Z,BUY,24012.5,24001.0,24047.0,11.5,590.0,65.0,STOP_HIT,-11.5
2026-09-02,CHOP,hammer,hammer,2026-09-02T05:10:00Z,SELL,23990.6,24005.0,23947.4,14.4,381.0,7865.0,STOP_HIT,-14.4
2026-09-02,CHOP,hammer,hammer,2026-09-02T05:55:00Z,SELL,23961.0,23970.0,23934.0,9.0,211.0,6760.0,STOP_HIT,-9.0
2026-09-02,CHOP,hammer,hammer,2026-09-02T06:35:00Z,SELL,23946.1,23953.1,23925.1,7.0,224.0,20150.0,PENDING,0.0
2026-09-02,CHOP,hammer,hammer,2026-09-02T06:50:00Z,BUY,23973.2,23955.0,24027.8,18.2,208.0,4615.0,TARGET_HIT,54.6
2026-09-02,CHOP,hammer,hammer,2026-09-02T07:30:00Z,SELL,24005.3,24018.0,23967.2,12.7,384.0,-5005.0,STOP_HIT,-12.7
2026-09-02,CHOP,hammer,hammer,2026-09-02T07:55:00Z,SELL,24010.8,24027.0,23962.2,16.2,351.0,-4810.0,STOP_HIT,-16.2
2026-09-02,CHOP,hammer,hammer,2026-09-02T08:00:00Z,BUY,24017.0,24000.3,24067.1,16.7,246.0,-1300.0,STOP_HIT,-16.7
2026-09-02,CHOP,hammer,hammer,2026-09-02T08:10:00Z,SELL,24000.0,24016.3,23951.1,16.3,307.0,2860.0,STOP_HIT,-16.3
2026-09-02,CHOP,hammer,hammer,2026-09-02T09:45:00Z,BUY,24009.5,24000.8,24035.6,8.7,506.0,6045.0,PENDING,0.0
2026-09-02,CHOP,hammer,hammer,2026-09-02T09:55:00Z,BUY,24008.4,23995.0,24048.6,13.4,809.0,5460.0,STOP_HIT,-13.4
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:45:00Z,BUY,24000.0,23952.4,24142.8,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:45:00Z,SELL,23952.4,24000.0,23809.6,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:50:00Z,BUY,23980.0,23940.0,24100.0,40.0,2379.0,51090.0,TRIGGERED,0.0
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:50:00Z,SELL,23940.0,23980.0,23820.0,40.0,2379.0,51090.0,PENDING,0.0
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:55:00Z,BUY,23981.2,23951.5,24070.3,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T03:55:00Z,SELL,23951.5,23981.2,23862.4,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T04:50:00Z,BUY,24018.0,23982.1,24125.7,35.9,1509.0,4550.0,STOP_HIT,-35.9
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T04:50:00Z,SELL,23982.1,24018.0,23874.4,35.9,1509.0,4550.0,STOP_HIT,-35.9
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T06:40:00Z,BUY,23983.9,23948.9,24088.9,35.0,2495.0,129675.0,TRIGGERED,0.0
2026-09-02,CHOP,spike+vol_expansion,spike+vol_expansion,2026-09-02T06:40:00Z,SELL,23948.9,23983.9,23843.9,35.0,2495.0,129675.0,PENDING,0.0
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:45:00Z,BUY,24000.0,23952.4,24142.8,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:45:00Z,SELL,23952.4,24000.0,23809.6,47.6,4879.0,58695.0,STOP_HIT,-47.6
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:50:00Z,BUY,23980.0,23940.0,24100.0,40.0,2379.0,51090.0,TRIGGERED,0.0
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:50:00Z,SELL,23940.0,23980.0,23820.0,40.0,2379.0,51090.0,PENDING,0.0
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:55:00Z,BUY,23981.2,23951.5,24070.3,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T03:55:00Z,SELL,23951.5,23981.2,23862.4,29.7,1439.0,19045.0,STOP_HIT,-29.7
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T04:00:00Z,BUY,23979.8,23958.7,24043.1,21.1,3585.0,111020.0,STOP_HIT,-21.1
2026-09-02,CHOP,spike+oi_confirm,spike+oi_confirm,2026-09-02T04:00:00Z,SELL,23958.7,23979.8,23895.4,21.1,3585.0,111020.0,STOP_HIT,-21.1
