index,timestamp,direction,outcome,setup_score,passed_checks,chk_structure_aligned,chk_secondary_confirmation,chk_htf_aligned,chk_vwap_aligned,chk_ema_aligned,chk_rsi_not_extreme,chk_adx_trending,chk_volume_above_average,regime,htf_score,structure_type,cisd,fvg,order_block,sweep_kind,level_source,sweep_reaction,sweep_reaction_atr_ratio,bars_to_reclaim,rsi14,macd,adx,atr14,above_vwap,above_ema20,ema20_gt_ema50,volume,volume_ratio,probability,confidence,rr,risk_amount,reward_amount,time_bucket,day_of_week
264,2024-01-04T06:55:00+00:00,BULLISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.035,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,23.1,2.6595438479339606,3,69.13,10.4315,42.35,8.6857,,True,True,0.0,,0.5259,55.3,2.0,25.8686,51.7371,MID,Thursday
301,2024-01-05T03:45:00+00:00,BULLISH,TIMEOUT,50.0,4,True,True,False,False,True,False,True,False,TRANSITION,0.085,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,40.125,2.16182579320823,3,86.95,8.3112,76.35,18.5607,,True,True,0.0,,0.4541,52.8,2.0,94.4061,188.8121,OPENING,Friday
319,2024-01-05T05:15:00+00:00,BEARISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.022,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,52.725,3.9273743016759775,2,28.58,10.0143,49.52,13.425,,False,True,0.0,,0.5259,54.9,2.0,56.2425,112.485,MID,Friday
335,2024-01-05T06:35:00+00:00,BULLISH,TIMEOUT,50.0,4,True,True,False,False,True,True,False,False,RANGE,0.024,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,14.0,1.2330890642615557,3,54.9,-4.2536,15.02,11.3536,,True,True,0.0,,0.4541,50.8,2.0,20.1354,40.2707,MID,Friday
358,2024-01-05T08:30:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,RANGE,-0.008,BOS,False,False,True,UPPER_SWEEP,EQUAL_HIGH,17.79,1.4789751093227805,1,32.89,-5.4721,69.74,12.0286,,False,False,0.0,,0.5259,54.4,2.0,22.4529,44.9057,MID,Friday
371,2024-01-05T09:35:00+00:00,BULLISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.032,CHOCH,True,False,False,LOWER_SWEEP,EQUAL_HIGH,9.3667,0.49813333616966965,3,62.08,5.0283,39.72,18.8036,,True,True,0.0,,0.5259,38.5,2.0,17.1804,34.3607,CLOSING,Friday
394,2024-01-08T05:15:00+00:00,BEARISH,WIN,50.0,4,True,True,False,False,True,True,False,False,RANGE,-0.004,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,50.9125,2.3415689719402657,3,48.71,-0.6165,5.12,21.7429,,False,True,0.0,,0.4541,50.1,2.0,53.3743,106.7486,MID,Monday
407,2024-01-08T06:20:00+00:00,BEARISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.083,BOS,False,True,False,UPPER_SWEEP,EQUAL_HIGH,71.275,3.1707935547587485,2,21.83,-20.1429,71.67,22.4786,,False,False,0.0,,0.5259,56.9,2.0,75.1979,150.3957,MID,Monday
433,2024-01-08T08:30:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,RANGE,-0.029,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_LOW,43.6833,2.7498504944698694,3,56.2,-8.636,3.64,15.8857,,True,False,0.0,,0.4541,51.0,2.0,47.6886,95.3771,MID,Monday
451,2024-01-09T03:45:00+00:00,BULLISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.034,CHOCH,True,True,True,LOWER_SWEEP,EQUAL_LOW,150.1,4.992034694807419,3,66.79,-9.4565,37.95,30.0679,,True,False,0.0,,0.5259,55.3,2.0,156.6568,313.3136,OPENING,Tuesday
